route_number,stop_id,stop_sequence,stop_name,latitude,longitude
11%20%G,11220909946,1,"Ashok Pillar Road, Zone 10 Kodambakkam",13.0358165,80.2057589
11%20%G,308317064,2,"Inner Ring Road, Zone 10 Kodambakkam",13.0348314,80.2118803
11%20%G,1024562407,3,"Jawaharlal Nehru Road (100 Feet Road), Zone 10 Kodambakkam",13.0350618,80.2119045
11%20%G,1024560151,4,"Inner Ring Road, Zone 10 Kodambakkam (Route 11%20%G)",13.032555,80.2119909
11%20%G,10187877326,5,"Esplanade, Zone 5 Royapuram",13.0876838,80.2836744
11%20%G,1955951295,6,"7th Avenue, Zone 10 Kodambakkam",13.0343805,80.2161535
11%20%G,9894539908,7,Dr Nair Road - CMWSSB Division 136,13.0409609,80.2405902
11%20%G,3725571283,8,"Sir Thyagaraya Road, Zone 9 Teynampet",13.0403357,80.2416011
11%20%G,306551395,9,"Anna Salai (Mount Road), Zone 9 Teynampet",13.0405526,80.2470139
11%20%G,308301022,10,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0468N)",13.0467908,80.2482982
11%20%G,316244810,11,Anna Salai (Mount Road) - CMWSSB Division 111,13.0565217,80.2564362
11%20%G,309185827,12,"Anna Salai (Mount Road), Zone 9 Teynampet (Route 11%20%G)",13.0593116,80.259461
11%20%G,7155445050,13,"Anna Salai (Mount Road), Zone 9 Teynampet (Route 11%20%G) #2",13.0592866,80.2595105
11%20%G,9920370158,14,"Anna Salai (Mount Road), Zone 9 Teynampet (Route 11%20%G) #3",13.0606236,80.2610739
11%20%G,309185812,15,"Anna Salai (Mount Road), Zone 5 Royapuram",13.0627904,80.2636986
11%20%G,2482072922,16,"Pallavan Salai, Zone 5 Royapuram",13.0768078,80.276179
114,4739613829,1,"Jawaharlal Nehru Road (100 Feet Road), Zone 10 Kodambakkam (13.0736N)",13.0735659,80.2003418
114,577362217,2,"MTC Busway, Zone 10 Kodambakkam",13.0687582,80.2052047
114,5320093328,3,"Jawaharlal Nehru Road (100 Feet Road), Zone 7 Ambattur",13.082197,80.1983699
114,6518463385,4,"Jawaharlal Nehru Road (100 Feet Road), Zone 7 Ambattur (Route 114)",13.0906674,80.1984558
114,11953087602,5,"Grand Northern Trunk Road, Zone 3 Madhavaram",13.1651503,80.2023657
114,10291068732,6,"Padi Flyover, Zone 7 Ambattur",13.1020524,80.1943128
114,5624538882,7,"Jawaharlal Nehru Road (100 Feet Road), Zone 7 Ambattur (Route 114) #2",13.119438,80.1986536
114,11915150828,8,"Jawaharlal Nehru Road (100 Feet Road), Kolathur",13.1237598,80.202265
114,11953087580,9,"Jawaharlal Nehru Road (100 Feet Road), Kolathur (Route 114)",13.1260395,80.2064145
114,11953087584,10,"Jawaharlal Nehru Road (100 Feet Road), Zone 3 Madhavaram",13.1356937,80.2162314
114,11953087586,11,"Grand Northern Trunk Road, Zone 3 Madhavaram (Route 114)",13.1449193,80.2193508
114,11953087588,12,"Grand Northern Trunk Road, Zone 3 Madhavaram (Route 114) #2",13.1532668,80.2081352
114,11930865099,13,"Grand Northern Trunk Road, Zone 3 Madhavaram (Route 114) #3",13.1582106,80.2036717
114,11953087601,14,"Grand Northern Trunk Road, Zone 3 Madhavaram (Route 114) #4",13.1643511,80.2023309
114,11953087603,15,"Grand Northern Trunk Road, Zone 3 Madhavaram (Route 114) #5",13.1704729,80.1992463
114,11953087606,16,"Grand Northern Trunk Road, Red Hills",13.1784566,80.1947536
114,12147208813,17,"Grand Northern Trunk Road (Old NH5), Red Hills",13.1841966,80.1916402
114,11953087611,18,"Grand Northern Trunk Road (Old NH5), Red Hills (Route 114)",13.1894981,80.1873829
11G,7412932325,1,Netaji Subhash Chandra Bose Road,13.0883365,80.2838631
11G,9504474774,2,"Pallavan Salai, Zone 5 Royapuram (Route 11G)",13.0763679,80.2763591
11G,2482072921,3,Pallavan Salai - CMWSSB Division 59,13.0763656,80.276459
11G,11220909947,4,"Ashok Pillar Road, Zone 10 Kodambakkam (Route 11G)",13.0356997,80.2057471
11G,9504474775,5,General Hospital Road,13.081935,80.2774889
11G,2482072870,6,General Hospital Road (13.0819N),13.0818538,80.2775047
11G,9504474773,7,"Anna Salai (Mount Road), Zone 5 Royapuram (Route 11G)",13.0703667,80.2737145
11G,309062093,8,Anna Salai (Mount Road) - CMWSSB Division 59,13.0702882,80.2738035
11G,5356742026,9,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0542N)",13.054195,80.253785
11G,1024558013,10,"11th Avenue, Zone 10 Kodambakkam",13.0316543,80.2122049
11G,301736187,11,"Scheme Road, Zone 9 Teynampet",13.0414948,80.2476472
11G,1955951303,12,"10th Avenue, Zone 10 Kodambakkam",13.0343297,80.2162105
11G,1024570438,13,"Ashok Pillar Road, Zone 10 Kodambakkam (Route 11G) #2",13.0351977,80.2082567
11G,365279752,14,"Anna Salai (Mount Road), Zone 9 Teynampet (13.0470N)",13.0470132,80.2487062
